BATCH_ID,SOURCE_LAYER,SOURCE_OBJECT,TARGET_LAYER,TARGET_OBJECT,TRANSFORMATION_NAME,TRANSFORMATION_TYPE,TRANSFORMATION_LOGIC,STATUS,CREATED_TS
20260430030321,S3_RAW,s3://recomartdatalake/raw/,SNOWFLAKE_RAW,RECOMART_DB.RAW,s3_to_raw_load,COPY_INTO,Load RecoMart CSV and JSON files from S3 into Snowflake RAW schema,SUCCESS,2026-04-30 05:37:51.016
20260430030321,SNOWFLAKE_RAW,RECOMART_DB.RAW,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,raw_to_validated,VALIDATION,"Apply null checks, duplicate checks, event type checks, validation flags, validation batch ID, and validation timestamp",SUCCESS,2026-04-30 05:37:51.370
20260430030321,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,validated_to_curated_preparation,CLEANING_PREPARATION,"Clean valid records, transform timestamps, encode event types, normalize values, and create user-item interactions",SUCCESS,2026-04-30 05:37:52.867
20260430030321,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED feature tables,curated_to_feature_engineering,FEATURE_ENGINEERING,"Create user activity, item popularity, category affinity, co-occurrence, item similarity, and training dataset features",SUCCESS,2026-04-30 05:37:56.532
20260430030321,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED.RECOMMENDATION_TRAINING_DATASET,SNOWFLAKE_FEATURE_STORE,RECOMART_DB.FEATURE_STORE,feature_publish,FEATURE_STORE_PUBLISH,Publish offline and online recommendation features with feature version and source validation batch ID,SUCCESS,2026-04-30 05:37:57.183
20260430030321,S3_RAW,s3://recomartdatalake/raw/,SNOWFLAKE_RAW,RECOMART_DB.RAW,s3_to_raw_load,COPY_INTO,Load RecoMart CSV and JSON files from S3 into Snowflake RAW schema,SUCCESS,2026-04-30 07:40:24.045
20260430030321,SNOWFLAKE_RAW,RECOMART_DB.RAW,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,raw_to_validated,VALIDATION,"Apply null checks, duplicate checks, event type checks, validation flags, validation batch ID, and validation timestamp",SUCCESS,2026-04-30 07:40:28.618
20260430030321,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,validated_to_curated_preparation,CLEANING_PREPARATION,"Clean valid records, transform timestamps, encode event types, normalize values, and create user-item interactions",SUCCESS,2026-04-30 07:40:29.017
20260430030321,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED feature tables,curated_to_feature_engineering,FEATURE_ENGINEERING,"Create user activity, item popularity, category affinity, co-occurrence, item similarity, and training dataset features",SUCCESS,2026-04-30 07:40:31.730
20260430030321,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED.RECOMMENDATION_TRAINING_DATASET,SNOWFLAKE_FEATURE_STORE,RECOMART_DB.FEATURE_STORE,feature_publish,FEATURE_STORE_PUBLISH,Publish offline and online recommendation features with feature version and source validation batch ID,SUCCESS,2026-04-30 07:40:32.080
20260430075931,S3_RAW,s3://recomartdatalake/raw/,SNOWFLAKE_RAW,RECOMART_DB.RAW,s3_to_raw_load,COPY_INTO,Load RecoMart CSV and JSON files from S3 into Snowflake RAW schema,SUCCESS,2026-04-30 08:03:37.862
20260430075931,SNOWFLAKE_RAW,RECOMART_DB.RAW,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,raw_to_validated,VALIDATION,"Apply null checks, duplicate checks, event type checks, validation flags, validation batch ID, and validation timestamp",SUCCESS,2026-04-30 08:03:38.261
20260430075931,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,validated_to_curated_preparation,CLEANING_PREPARATION,"Clean valid records, transform timestamps, encode event types, normalize values, and create user-item interactions",SUCCESS,2026-04-30 08:03:39.390
20260430075931,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED feature tables,curated_to_feature_engineering,FEATURE_ENGINEERING,"Create user activity, item popularity, category affinity, co-occurrence, item similarity, and training dataset features",SUCCESS,2026-04-30 08:03:39.742
20260430075931,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED.RECOMMENDATION_TRAINING_DATASET,SNOWFLAKE_FEATURE_STORE,RECOMART_DB.FEATURE_STORE,feature_publish,FEATURE_STORE_PUBLISH,Publish offline and online recommendation features with feature version and source validation batch ID,SUCCESS,2026-04-30 08:03:40.369
20260430081645,S3_RAW,s3://recomartdatalake/raw/,SNOWFLAKE_RAW,RECOMART_DB.RAW,s3_to_raw_load,COPY_INTO,Load RecoMart CSV and JSON files from S3 into Snowflake RAW schema,SUCCESS,2026-04-30 08:20:03.595
20260430081645,SNOWFLAKE_RAW,RECOMART_DB.RAW,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,raw_to_validated,VALIDATION,"Apply null checks, duplicate checks, event type checks, validation flags, validation batch ID, and validation timestamp",SUCCESS,2026-04-30 08:20:03.975
20260430081645,SNOWFLAKE_VALIDATED,RECOMART_DB.VALIDATED,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,validated_to_curated_preparation,CLEANING_PREPARATION,"Clean valid records, transform timestamps, encode event types, normalize values, and create user-item interactions",SUCCESS,2026-04-30 08:20:04.372
20260430081645,SNOWFLAKE_CURATED,RECOMART_DB.CURATED,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED feature tables,curated_to_feature_engineering,FEATURE_ENGINEERING,"Create user activity, item popularity, category affinity, co-occurrence, item similarity, and training dataset features",SUCCESS,2026-04-30 08:20:04.680
20260430081645,SNOWFLAKE_FEATURES,RECOMART_DB.CURATED.RECOMMENDATION_TRAINING_DATASET,SNOWFLAKE_FEATURE_STORE,RECOMART_DB.FEATURE_STORE,feature_publish,FEATURE_STORE_PUBLISH,Publish offline and online recommendation features with feature version and source validation batch ID,SUCCESS,2026-04-30 08:20:05.559
